pair_key,true_label,pred_labels,count,mean_confidence,mean_margin,min_true_probability,montage_path
Class_2_to_Class_4,Class_2,Class_4,10,0.8278212220486013,0.7035390905837178,0.0011598819401115,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_4.png
Class_4_to_Class_2,Class_4,Class_2,10,0.805183882620914,0.6493855792547923,0.0025548737030476,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_2.png
Class_4_to_Class_1,Class_4,Class_1,10,0.780887868193244,0.6025723302034092,8.545273885829374e-05,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_1.png
Class_3_to_Class_2,Class_3,Class_2,10,0.7655011487462474,0.6076694508868201,0.0001040164788719,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_3_to_Class_2.png
Class_2_to_Class_3,Class_2,Class_3,8,0.8668937956942868,0.7649291221019443,3.207870395272039e-05,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_3.png
Class_1_to_Class_4,Class_1,Class_4,7,0.8272658716875102,0.7017636391419769,9.62520618588406e-06,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_1_to_Class_4.png
Class_1_to_Class_3,Class_1,Class_3,5,0.7284707899702005,0.5553265046483606,0.0006542553885982,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_1_to_Class_3.png
Class_0_to_Class_3,Class_0,Class_3,5,0.7244776107056721,0.4843294593392722,0.014574096921762,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_0_to_Class_3.png
Class_3_to_Class_4,Class_3,Class_4,4,0.8106847251621707,0.6779679766408536,0.0015267967246472,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_3_to_Class_4.png
Class_3_to_Class_0,Class_3,Class_0,4,0.8077315504938949,0.6661116203230084,0.0004378040101812,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_3_to_Class_0.png
Class_4_to_Class_3,Class_4,Class_3,3,0.8848031956465734,0.7724468736949136,0.0105401361361145,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_3.png
Class_0_to_Class_2,Class_0,Class_2,3,0.6830530889510994,0.4164683314307147,3.054598658725795e-05,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_0_to_Class_2.png
Class_3_to_Class_1_or_Class_2,Class_3,Class_1;Class_2,3,0.6790406873997027,0.4652495102203234,3.435031612752937e-05,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_3_to_Class_1_or_Class_2.png
Class_2_to_Class_1,Class_2,Class_1,3,0.5885728920519839,0.2712754907663406,0.0052877431735396,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_1.png
Class_2_to_Class_0,Class_2,Class_0,2,0.9781989304529968,0.9579488845342804,4.636459929577958e-07,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_0.png
Class_1_to_Class_2,Class_1,Class_2,2,0.716832481576489,0.4777621149527959,0.0053690562400112,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_1_to_Class_2.png
Class_4_to_Class_1_or_Class_3,Class_4,Class_1;Class_3,2,0.6990994135326882,0.4966188461108389,0.0037129732043075,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_1_or_Class_3.png
Class_1_to_Class_0,Class_1,Class_0,2,0.6495226837557613,0.4155147916987342,0.1319064050912857,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_1_to_Class_0.png
Class_2_to_Class_1_or_Class_4,Class_2,Class_1;Class_4,2,0.6094042044540103,0.3703236361587873,0.0006938102305866,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_1_or_Class_4.png
Class_3_to_Class_1_or_Class_4,Class_3,Class_1;Class_4,2,0.5992952487892548,0.3685672303416332,0.0010752958936231,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_3_to_Class_1_or_Class_4.png
Class_0_to_Class_4,Class_0,Class_4,2,0.5760444224619615,0.2536880571688206,0.0001357639599103,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_0_to_Class_4.png
Class_3_to_Class_0_or_Class_2,Class_3,Class_0;Class_2,2,0.5232551955463863,0.2419903297170184,0.002400908502254,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_3_to_Class_0_or_Class_2.png
Class_4_to_Class_0_or_Class_2,Class_4,Class_0;Class_2,1,0.6389328246341289,0.3016592507252303,0.0017311506086024,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_0_or_Class_2.png
Class_2_to_Class_3_or_Class_4,Class_2,Class_3;Class_4,1,0.6086463137836593,0.2200654207840841,6.579685577889904e-05,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_3_or_Class_4.png
Class_2_to_Class_1_or_Class_3,Class_2,Class_1;Class_3,1,0.582025969692894,0.2559354599966285,0.0389099536563792,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_2_to_Class_1_or_Class_3.png
Class_1_to_Class_0_or_Class_3,Class_1,Class_0;Class_3,1,0.5396850524296557,0.1820086374772988,0.0291746146976947,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_1_to_Class_0_or_Class_3.png
Class_4_to_Class_0_or_Class_1,Class_4,Class_0;Class_1,1,0.4593452047360388,0.0744527418654614,0.0167755443413897,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_0_or_Class_1.png
Class_4_to_Class_0_or_Class_2_or_Class_3,Class_4,Class_0;Class_2;Class_3,1,0.3433222018629626,0.1269458401761471,0.019383917051967,artifacts/analysis/scheme01_oof_audit/persistent_errors/pair_montages/Class_4_to_Class_0_or_Class_2_or_Class_3.png
